Questions;Answers;;;;Indexes;;;
Bitte ordnen Sie der Probe <color=red>322</color> die entsprechende <color=red>Farbe</color> zu.;Dunkelrot mit bläul. Reflexen; ; ; ;2; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Dumpf;Dunkle Beeren;Pflaume;Holz;4;7;8;12
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Tannine;Dezente Säure;Leichte Süße; ;2;5;8; 
Bitte ordnen Sie der Probe <color=red>644</color> die entsprechende <color=red>Farbe</color> zu.;Rubinrot; ; ; ;1; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Fruchtig;Kirsche;Vanille;Holz;0;6;10;12
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Adstringierend;Tannine;Holz;Dominante Säure;1;2;6;9
Proband ID;24; ; ; 
Studie;CATA; ; ; 
Studie Variante;Rotwein; ; ; 
Umgebung;Weinkeller; ; ; 
